text,amount,category
O2 faktúra,0.0,Uradne a poplatky
Obecný úrad,0.0,Uradne a poplatky
Orange faktúra,0.0,Uradne a poplatky
Plynárne,0.0,Uradne a poplatky
Poplatok za psa,0.0,Uradne a poplatky
Posta,0.0,Uradne a poplatky
Sociálna poistovna,0.0,Uradne a poplatky
Sociálna poisťovňa,0.0,Uradne a poplatky
SPP faktúra,0.0,Uradne a poplatky
Správny poplatok,0.0,Uradne a poplatky
SSE faktúra,0.0,Uradne a poplatky
Súdny poplatok,0.0,Uradne a poplatky
Telekom faktúra,0.0,Uradne a poplatky
Uctovnictvo,0.0,Uradne a poplatky
Union zdravotná poisťovňa,0.0,Uradne a poplatky
UPC faktúra,0.0,Uradne a poplatky
VSE faktúra,0.0,Uradne a poplatky
VSZP,0.0,Uradne a poplatky
VšZP,0.0,Uradne a poplatky
ZSE faktúra,0.0,Uradne a poplatky
Účtovníctvo,0.0,Uradne a poplatky
Albatros Media,0.0,Vzdelanie
Artforum,0.0,Vzdelanie
Coursera,0.0,Vzdelanie
Doučovanie,0.0,Vzdelanie
FaxCopy,0.0,Vzdelanie
Gorila,0.0,Vzdelanie
Gorila.sk,0.0,Vzdelanie
Ikar,0.0,Vzdelanie
Jazyková škola,0.0,Vzdelanie
Kancelárske potreby,0.0,Vzdelanie
Knihcentrum,0.0,Vzdelanie
Knihy,0.0,Vzdelanie
Knižný klub,0.0,Vzdelanie
Kurz,0.0,Vzdelanie
LinkedIn Learning,0.0,Vzdelanie
Martinus,0.0,Vzdelanie
MARTINUS SK,0.0,Vzdelanie
Martinuso,0.0,Vzdelanie
Megaknihy,0.0,Vzdelanie
office depot,0.0,Vzdelanie
Panta Rhei,0.0,Vzdelanie
Papiernictvo,0.0,Vzdelanie
Pluralsight,0.0,Vzdelanie
SEVT,0.0,Vzdelanie
Skillshare,0.0,Vzdelanie
TonerPartner,0.0,Vzdelanie
Udemy,0.0,Vzdelanie
Učebnice,0.0,Vzdelanie
ŠEVT,0.0,Vzdelanie
Školské potreby,0.0,Vzdelanie
AquaCity Poprad,0.0,Zabava
AQUAPARK,0.0,Zabava
Aquapark Tatralandia,0.0,Zabava
Bešeňová,0.0,Zabava
Bowling,0.0,Zabava
Cinema City,0.0,Zabava
Cinema City SK,0.0,Zabava
CINEMAX,0.0,Zabava
CineStar,0.0,Zabava
Divadlo,0.0,Zabava
Escape room,0.0,Zabava
Festival,0.0,Zabava
Galéria,0.0,Zabava
GoOut,0.0,Zabava
GOPASS,0.0,Zabava
kino,0.0,Zabava
Kino Mladosť,0.0,Zabava
Kino Tatra,0.0,Zabava
Kino Úsmev,0.0,Zabava
Koncert,0.0,Zabava
Kultúra,0.0,Zabava
Laser Game,0.0,Zabava
Lístok na koncert,0.0,Zabava
Mestská karta,0.0,Zabava
Múzeum,0.0,Zabava
Múzeum Vojtecha Löfflera,0.0,Zabava
Národné divadlo,0.0,Zabava
Predpredaj,0.0,Zabava
Predpredaj.sk,0.0,Zabava
Slovak National Theatre,0.0,Zabava
SND,0.0,Zabava
Tatralandia,0.0,Zabava
Ticketportal,0.0,Zabava
Ticketstream,0.0,Zabava
ZOO Bojnice,0.0,Zabava
ZOO Bratislava,0.0,Zabava
ZOO Košice,0.0,Zabava
ZOO Spišská Nová Ves,0.0,Zabava
Úniková hra,0.0,Zabava
Alpha medical,0.0,Zdravie
Dentalna hygiena,0.0,Zdravie
Dentálna hygiena,0.0,Zdravie
FOKUS,0.0,Zdravie
Fyzioterapia,0.0,Zdravie
Laboratorium,0.0,Zdravie
Laboratórium,0.0,Zdravie
Lekar,0.0,Zdravie
Lekár,0.0,Zdravie
Lekárska pohotovosť,0.0,Zdravie
Medirex,0.0,Zdravie
Nemocnica,0.0,Zdravie
Nemocnica Bory,0.0,Zdravie
Nemocnica Košice Šaca,0.0,Zdravie
Nemocnica Ružinov,0.0,Zdravie
OKAY Optika,0.0,Zdravie
Optika,0.0,Zdravie
Ordinácia,0.0,Zdravie
Očná ambulancia,0.0,Zdravie
Očná optika,0.0,Zdravie
Poliklinika,0.0,Zdravie
ProCare,0.0,Zdravie
Rehabilitácia,0.0,Zdravie
UNB,0.0,Zdravie
UNLP Košice,0.0,Zdravie
Zdravotné stredisko,0.0,Zdravie
Zdravotnícka pomôcka,0.0,Zdravie
Zdravotnícke potreby,0.0,Zdravie
Zubar,0.0,Zdravie
Zubár,0.0,Zdravie
Barber,0.0,Zdravie a krasa
Barbershop,0.0,Zdravie a krasa
Beauty salon,0.0,Zdravie a krasa
Biooo,0.0,Zdravie a krasa
Holičstvo,0.0,Zdravie a krasa
Kadernictvo,0.0,Zdravie a krasa
Kaderníctvo,0.0,Zdravie a krasa
Kozmetické služby,0.0,Zdravie a krasa
Kozmetika,0.0,Zdravie a krasa
Makeup,0.0,Zdravie a krasa
Makeup.sk,0.0,Zdravie a krasa
Manikúra,0.0,Zdravie a krasa
Masaz,0.0,Zdravie a krasa
Masáž,0.0,Zdravie a krasa
Parfumeria,0.0,Zdravie a krasa
Parfums,0.0,Zdravie a krasa
Parfuméria,0.0,Zdravie a krasa
Pedikúra,0.0,Zdravie a krasa
Salón krásy,0.0,Zdravie a krasa
Sauna,0.0,Zdravie a krasa
Solárium,0.0,Zdravie a krasa
Spa,0.0,Zdravie a krasa
Wellness,0.0,Zdravie a krasa
Lidl,15.00,Potraviny
Tesco,22.30,Potraviny
Kaufland,18.90,Potraviny
Billa,12.60,Potraviny
COOP Jednota,9.80,Potraviny
Terno,14.20,Potraviny
Fresh,11.50,Potraviny
Metro,45.00,Potraviny
DM,5.50,Drogeria
Teta drogéria,6.20,Drogeria
Rossmann,7.10,Drogeria
Yves Rocher,24.00,Zdravie a krasa
Kiko Milano,18.50,Zdravie a krasa
Douglas,32.00,Zdravie a krasa
Fann parfuméria,14.30,Zdravie a krasa
Marionnaud,27.00,Zdravie a krasa
ProCare,45.00,Zdravie
Svet zdravia,40.00,Zdravie
Alphamedical,35.00,Zdravie
Medifera,38.00,Zdravie
Optika Clarus,60.00,Zdravie
Cinema City,9.50,Zabava
CINEMAX,8.90,Zabava
Golden Apple Cinema,9.00,Zabava
AquaCity,25.00,Zabava
Tatralandia,28.00,Zabava
Laser Game Bratislava,15.00,Zabava
Bowling Centrum,12.00,Zabava
Wall Street English,60.00,Vzdelanie
Akadémia vzdelávania,50.00,Vzdelanie
Jazyková škola Elvis,45.00,Vzdelanie
Lingua Nova,55.00,Vzdelanie
British Council,70.00,Vzdelanie
Okresný úrad,10.00,Uradne a poplatky
Dopravný inšpektorát,16.50,Uradne a poplatky
Notárska komora,25.00,Uradne a poplatky
Katastrálny úrad,8.00,Uradne a poplatky
Daňový úrad,0.00,Uradne a poplatky
Orange Slovensko,20.00,Telefon a internet
Telekom,22.00,Telefon a internet
O2 Slovakia,15.00,Telefon a internet
4ka,12.00,Telefon a internet
UPC,25.00,Telefon a internet
Antik Telecom,18.00,Telefon a internet
Netflix,12.99,Streaming a online sluzby
Spotify,9.99,Streaming a online sluzby
HBO Max,8.99,Streaming a online sluzby
Disney+,9.99,Streaming a online sluzby
Voyo,7.99,Streaming a online sluzby
YouTube Premium,11.99,Streaming a online sluzby
Apple Music,10.99,Streaming a online sluzby
Amazon Prime Video,6.99,Streaming a online sluzby
PlayStation Plus,13.99,Streaming a online sluzby
Xbox Game Pass,12.99,Streaming a online sluzby
Decathlon,35.00,Sport
Intersport,42.00,Sport
Sportisimo,30.00,Sport
O2 Fitness,29.90,Sport
PulseFitness,32.00,Sport
Fitness Park,27.50,Sport
Wolt,9.50,Rozvoz jedla
Bolt Food,8.90,Rozvoz jedla
Foodora,10.20,Rozvoz jedla
McDonald's,6.50,Restauracie
KFC,7.20,Restauracie
Burger King,7.80,Restauracie
Subway,5.90,Restauracie
Pizza Hut,10.50,Restauracie
Starbucks,4.80,Restauracie
Costa Coffee,4.20,Restauracie
Coffee&Co,3.50,Restauracie
O sole mio,15.00,Restauracie
Prašná bašta,22.00,Restauracie
U Michala,18.00,Restauracie
Slovenská pošta,4.50,Posta a kurierske sluzby
Packeta,3.20,Posta a kurierske sluzby
GLS,4.00,Posta a kurierske sluzby
DPD,3.80,Posta a kurierske sluzby
DHL,6.50,Posta a kurierske sluzby
UPS,7.00,Posta a kurierske sluzby
WeDo,3.50,Posta a kurierske sluzby
Allianz Slovenská poisťovňa,45.00,Poistenie
Union poisťovňa,38.00,Poistenie
Generali Poisťovňa,42.00,Poistenie
Kooperativa,40.00,Poistenie
Dôvera zdravotná poisťovňa,0.00,Poistenie
VšZP,0.00,Poistenie
UNIQA,36.00,Poistenie
Google One,2.99,Online sluzby
iCloud+,2.99,Online sluzby
Microsoft 365,7.99,Online sluzby
Dropbox,11.99,Online sluzby
Canva Pro,12.99,Online sluzby
Adobe Creative Cloud,24.99,Online sluzby
Mall.sk,55.00,Online nakupovanie
Amazon,40.00,Online nakupovanie
AliExpress,18.00,Online nakupovanie
Notino.sk,22.00,Online nakupovanie
eMimino.sk,30.00,Online nakupovanie
H&M,25.00,Oblecenie
Zara,45.00,Oblecenie
C&A,20.00,Oblecenie
Reserved,30.00,Oblecenie
New Yorker,22.00,Oblecenie
Takko,15.00,Oblecenie
CCC,35.00,Oblecenie
Deichmann,40.00,Oblecenie
Humanic,50.00,Oblecenie
Bata,38.00,Oblecenie
Dr.Max,8.50,Lekaren
BENU Lekáreň,7.90,Lekaren
Pilulka.sk,12.00,Lekaren
Lekáreň Alphega,9.20,Lekaren
Nay,120.00,Elektronika
Datart,150.00,Elektronika
Alza.sk,95.00,Elektronika
Planeo Elektro,180.00,Elektronika
iStores,250.00,Elektronika
ZSSK,8.00,Doprava
SAD,2.50,Doprava
FlixBus,15.00,Doprava
RegioJet,18.00,Doprava
Arriva,3.00,Doprava
Bolt,6.50,Doprava
Uber,7.20,Doprava
IDS BK,1.20,Doprava
IKEA,80.00,Domacnost
JYSK,45.00,Domacnost
Kika,120.00,Domacnost
XXXLutz,200.00,Domacnost
Möbelix,90.00,Domacnost
Bauhaus,60.00,Domacnost
Hornbach,55.00,Domacnost
OBI,50.00,Domacnost
CK Satur,450.00,Cestovanie
CK Fischer,500.00,Cestovanie
Ryanair,80.00,Cestovanie
Wizz Air,90.00,Cestovanie
Booking.com,150.00,Cestovanie
Invia.sk,300.00,Cestovanie
Slovak Lines,10.00,Cestovanie
ZSE,65.00,Byvanie a energie
SPP,55.00,Byvanie a energie
VSE,60.00,Byvanie a energie
Stredoslovenská energetika,58.00,Byvanie a energie
Bratislavská vodárenská spoločnosť,25.00,Byvanie a energie
Slovnaft,45.00,Benzin
OMV,42.00,Benzin
Shell,44.00,Benzin
MOL,40.00,Benzin
Orlen,41.00,Benzin
Slovenská sporiteľňa,3.50,Banky a financie
VÚB banka,4.00,Banky a financie
Tatra banka,3.90,Banky a financie
ČSOB,3.20,Banky a financie
mBank,0.00,Banky a financie
Prima banka,2.50,Banky a financie
UniCredit Bank,3.80,Banky a financie
365.bank,0.00,Banky a financie
Revolut,0.00,Banky a financie
Bridgestone servis,80.00,Auto servis
Quick Pneu,60.00,Auto servis
Pneu Point,55.00,Auto servis
Bosch Car Service,120.00,Auto servis
AAA Auto servis,90.00,Auto servis
